metric,CPS,random_mean,random_std,CPS_vs_random_mean
exact_match_pct,12.3647,1.6673,2.6078,10.6974
cosine_similarity,0.4063,0.2925,0.0881,0.1138
bert_score_f1,0.8696,0.7115,0.0932,0.1581
jaccard_similarity,0.1249,0.0638,0.0616,0.0611
levenshtein_similarity,0.2645,0.1671,0.0447,0.0975
harmonic_mean_purity_p1,0.426,0.3567,0.0328,0.0693
adjusted_rand_index,0.2363,0.1464,0.0806,0.0899
normalized_mutual_info,0.3629,0.2764,0.0914,0.0864
topic_coherence_cv,0.5576,0.5293,0.0211,0.0283
topic_alignment_pn,0.3944,0.3166,0.0621,0.0779
